,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
51,"ARONIOWA Rzeszów-dom szeregowy o pow. 110,04 m2",https://www.otodom.pl/pl/oferta/aroniowa-rzeszow-dom-szeregowy-o-pow-110-04-m2-ID4dgb2,"Rzeszów, Budziwój, Rzeszów, ul. Aroniowa","110,04 m²",499 000 zł,,4,pustak,gazowe,,2,pierwotny,2022,szeregowiec,do wykończenia
52,Nowe Mieszkanie Osiedle Architektów B3.4.M132,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-osiedle-architektow-b3-4-m132-ID4dzZl,"Rzeszów, Staroniwa, ul. Architektów","37,41 m²",314 244 zł,,2,,,4,8,pierwotny,2023,blok,
53,Mieszkanie Osiedle Architektów B3.4.M131,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b3-4-m131-ID4dzZe,"Rzeszów, Staroniwa, ul. Architektów","30,58 m²",281 336 zł,,2,,,4,8,pierwotny,2023,blok,
54,Wygodne Mieszkanie Osiedle Architektów B3.3.M128,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-b3-3-m128-ID4dzYG,"Rzeszów, Staroniwa, ul. Architektów","38,46 m²",323 064 zł,,2,,,3,,pierwotny,2023,blok,
55,Mieszkania przy plaży - pierwsze takie osiedle!,https://www.otodom.pl/pl/oferta/mieszkania-przy-plazy-pierwsze-takie-osiedle-ID4b65W,"ul. Kwiatkowskiego, Rzeszów, podkarpackie","57,12 m²",456 960 zł,,3,,miejskie,1,15,pierwotny,2022,blok,do wykończenia
56,Mieszkania przy plaży - pierwsze takie osiedle!,https://www.otodom.pl/pl/oferta/mieszkania-przy-plazy-pierwsze-takie-osiedle-ID4b66c,"ul. Kwiatkowskiego, Rzeszów, podkarpackie","67,90 m²",556 780 zł,,3,,miejskie,1,15,pierwotny,2022,blok,do wykończenia
57,Mieszkanie dwupoziomowe -B/15 - Przedsprzedaż,https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-b-15-przedsprzedaz-ID49VTS,"Rzeszów, Zalesie, ul. Henryka Wieniawskiego","118,40 m²",497 000 zł,,4,pustak,kotłownia,2,2,pierwotny,2022,szeregowiec,do wykończenia
58,BONUS! 5 lub 7 studii - Inwestycyjne gotówkowe,https://www.otodom.pl/pl/oferta/bonus-5-lub-7-studii-inwestycyjne-gotowkowe-ID4bYEl,"Rzeszów, Zalesie, ul. Henryka Wieniawskiego","118,80 m²",500 000 zł,,7,pustak,kotłownia,1,2,pierwotny,2022,szeregowiec,do wykończenia
59,3 pokoje | duże przeszklenia | 5 630zł/m2,https://www.otodom.pl/pl/oferta/3-pokoje-duze-przeszklenia-5-630zl-m2-ID4dzYh,"Rzeszów, Drabinianka, ul. kard. Karola Wojtyły","65,54 m²",369 000 zł,,3,pustak,gazowe,2,2,pierwotny,2022,blok,do wykończenia
60,Nowe Mieszkanie Osiedle Architektów B3.3.M127,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-osiedle-architektow-b3-3-m127-ID4dzY5,"Rzeszów, Staroniwa, ul. Architektów","37,41 m²",314 244 zł,,2,,,3,8,pierwotny,2023,blok,
